iteration,type,subtype,id,money
50,agent,Middle,G75,5159151.92
50,agent,Middle,G76,5151125.00
50,agent,Middle,G77,4364188.57
50,agent,Middle,G78,5915365.59
50,agent,Middle,G79,4329210.00
50,agent,Low,G80,186277.72
50,agent,Low,G81,104865.90
50,agent,Low,G82,184122.43
50,agent,Low,G83,183659.03
50,agent,Low,G84,185473.62
50,agent,Low,G85,185875.00
50,agent,Low,G86,185875.00
50,agent,Low,G87,151014.99
50,agent,Low,G88,185875.00
50,agent,Low,G89,104815.93
50,agent,Low,G90,186020.88
50,agent,Low,G91,185875.00
50,agent,Low,G92,185858.56
50,agent,Low,G93,98189.11
50,agent,Low,G94,183924.20
50,agent,Low,G95,185672.22
50,agent,Low,G96,185875.00
50,agent,Low,G97,152251.81
50,agent,Low,G98,186431.42
50,agent,Low,G99,187813.03
50,firm,,F0,34017986.71
50,firm,,F1,99988947.97
50,firm,,F2,47024760.02
50,firm,,F3,58824278.75
50,firm,,F4,61971930.82
50,firm,,F5,57906918.10
50,firm,,F6,89057360.42
50,firm,,F7,41108728.77
50,firm,,F8,43045354.48
50,firm,,F9,68199552.28
50,regulator,,R0,996493173.77
60,agent,High,G0,9270792.39
60,agent,High,G1,12702571.88
60,agent,High,G2,9338852.95
60,agent,High,G3,10903575.71
60,agent,High,G4,12547533.32
60,agent,Middle,G5,5099613.75
60,agent,Middle,G6,5731175.41
60,agent,Middle,G7,5107496.39
60,agent,Middle,G8,5862028.33
60,agent,Middle,G9,4354455.10
60,agent,Middle,G10,4353402.49
60,agent,Middle,G11,5779977.87
60,agent,Middle,G12,5099613.75
60,agent,Middle,G13,5855528.63
60,agent,Middle,G14,5861467.35
60,agent,Middle,G15,5100472.05
60,agent,Middle,G16,4978824.93
60,agent,Middle,G17,5148239.96
60,agent,Middle,G18,5099613.75
60,agent,Middle,G19,6435210.39
60,agent,Middle,G20,4464801.19
60,agent,Middle,G21,4354464.49
60,agent,Middle,G22,3226022.65
60,agent,Middle,G23,5266164.96
60,agent,Middle,G24,5861488.25
60,agent,Middle,G25,4310748.41
60,agent,Middle,G26,5035458.67
60,agent,Middle,G27,4376814.63
60,agent,Middle,G28,4362442.14
60,agent,Middle,G29,7490411.97
60,agent,Middle,G30,5099613.75
60,agent,Middle,G31,5197223.42
60,agent,Middle,G32,5133639.96
60,agent,Middle,G33,4985541.53
60,agent,Middle,G34,4305974.60
60,agent,Middle,G35,5093122.55
60,agent,Middle,G36,5651514.26
60,agent,Middle,G37,5090842.72
60,agent,Middle,G38,5099613.75
60,agent,Middle,G39,5830891.00
60,agent,Middle,G40,5099613.75
60,agent,Middle,G41,3698648.17
60,agent,Middle,G42,4293299.29
60,agent,Middle,G43,4353668.23
60,agent,Middle,G44,5099613.75
60,agent,Middle,G45,5099613.75
60,agent,Middle,G46,5740870.91
60,agent,Middle,G47,5098426.82
60,agent,Middle,G48,5099613.75
60,agent,Middle,G49,5099613.75
60,agent,Middle,G50,5099613.75
