Time,type,Income-class,id,Net-worth
40,agent,Low,G86,10050.0
40,agent,Low,G87,9847.69
40,agent,Low,G88,10050.0
40,agent,Low,G89,10050.0
40,agent,Low,G90,-28350.39
40,agent,Low,G91,10050.0
40,agent,Low,G92,-77955.3
40,agent,Low,G93,10050.0
40,agent,Low,G94,10050.0
40,agent,Low,G95,10150.0
40,agent,Low,G96,10249.65
40,agent,Low,G97,10249.69
40,agent,Low,G98,10050.0
40,agent,Low,G99,10050.0
40,firm,,F0,98116291.47
40,firm,,F1,68072776.96
40,firm,,F2,38942609.4
40,firm,,F3,1054307.33
40,firm,,F4,44934886.67
40,firm,,F5,59176024.65
40,firm,,F6,78954676.49
40,firm,,F7,33160125.35
40,firm,,F8,5069946.43
40,firm,,F9,79877343.06
40,regulator,,R0,1000000000.0
50,agent,High,G0,9359952.21
50,agent,High,G1,11025000.0
50,agent,High,G2,11025000.0
50,agent,High,G3,11025000.0
50,agent,High,G4,12667452.21
50,agent,Middle,G5,5176761.86
50,agent,Middle,G6,5775570.38
50,agent,Middle,G7,5151125.0
50,agent,Middle,G8,4373903.93
50,agent,Middle,G9,3149166.64
50,agent,Middle,G10,5964488.77
50,agent,Middle,G11,4374556.86
50,agent,Middle,G12,5151125.0
50,agent,Middle,G13,6687948.93
50,agent,Middle,G14,4373931.59
50,agent,Middle,G15,5027318.98
50,agent,Middle,G16,5184767.17
50,agent,Middle,G17,5918318.13
50,agent,Middle,G18,5147400.84
50,agent,Middle,G19,5916444.6
50,agent,Middle,G20,5151125.0
50,agent,Middle,G21,4374140.61
50,agent,Middle,G22,4379030.66
50,agent,Middle,G23,5151125.0
50,agent,Middle,G24,4373392.88
50,agent,Middle,G25,4372758.37
50,agent,Middle,G26,5151125.0
50,agent,Middle,G27,5858294.23
50,agent,Middle,G28,6454896.98
50,agent,Middle,G29,5312930.18
50,agent,Middle,G30,5217008.55
50,agent,Middle,G31,6013856.1
50,agent,Middle,G32,5151125.0
50,agent,Middle,G33,5151125.0
50,agent,Middle,G34,4976316.47
50,agent,Middle,G35,5901527.51
50,agent,Middle,G36,5916113.62
50,agent,Middle,G37,5186097.28
50,agent,Middle,G38,5910837.56
50,agent,Middle,G39,4315859.9
50,agent,Middle,G40,5919204.96
50,agent,Middle,G41,5968971.94
50,agent,Middle,G42,4453092.44
50,agent,Middle,G43,4373306.95
50,agent,Middle,G44,4433106.84
50,agent,Middle,G45,6051176.96
50,agent,Middle,G46,5076616.86
50,agent,Middle,G47,5151125.0
50,agent,Middle,G48,5141305.99
50,agent,Middle,G49,5106692.63
50,agent,Middle,G50,5826951.37
50,agent,Middle,G51,5151125.0
50,agent,Middle,G52,5222526.19
50,agent,Middle,G53,5094974.21
50,agent,Middle,G54,3714247.05
